full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college
Mario Hezonja,75,#44,Portland Trail Blazers,F-G,02/25/95,2.03,91.2,1737145.0,Croatia,2015,1,5,
George Hill,75,#3,Milwaukee Bucks,G,05/04/86,1.91,81.6,10133907.0,USA,2008,1,26,IUPUI
Rondae Hollis-Jefferson,75,#4,Toronto Raptors,F,01/03/95,1.98,95.7,2500000.0,USA,2015,1,23,Arizona
Richaun Holmes,75,#22,Sacramento Kings,F,10/15/93,2.08,110.2,4767000.0,USA,2015,2,37,Bowling Green
James Johnson,75,#0,Minnesota Timberwolves,F,02/20/87,2.01,111.1,15349400.0,USA,2009,1,16,Wake Forest
Luke Kennard,75,#5,Detroit Pistons,G,06/24/96,1.96,88.9,3827160.0,USA,2017,1,12,Duke
Kyle Korver,75,#26,Milwaukee Bucks,F,03/17/81,2.01,96.2,6004753.0,USA,2003,2,51,Creighton
Rodions Kurucs,75,#0,Brooklyn Nets,F,02/05/98,2.06,97.5,1699236.0,Latvia,2018,2,40,
Jake Layman,75,#10,Minnesota Timberwolves,F,03/07/94,2.03,94.8,3581986.0,USA,2016,2,47,Maryland
Robin Lopez,75,#42,Milwaukee Bucks,C,04/01/88,2.13,115.7,4767000.0,USA,2008,1,15,Stanford
Trey Lyles,75,#41,San Antonio Spurs,F,11/05/95,2.06,109.3,5500000.0,Canada,2015,1,12,Kentucky
Boban Marjanovic,75,#51,Dallas Mavericks,C,08/15/88,2.24,131.5,3500000.0,Serbia,2010,Undrafted,Undrafted,
TJ McConnell,75,#9,Indiana Pacers,G,03/25/92,1.85,90.7,3500000.0,USA,2015,Undrafted,Undrafted,Arizona
Patrick Mills,75,#8,San Antonio Spurs,G,08/11/88,1.85,83.9,12678571.0,Australia,2009,2,55,Saint Mary's
Malik Monk,75,#1,Charlotte Hornets,G,02/04/98,1.91,89.4,4028400.0,USA,2017,1,11,Kentucky
Markieff Morris,75,#88,Los Angeles Lakers,F,09/02/89,2.03,111.1,3709887.0,USA,2011,1,13,Kansas
Shabazz Napier,75,#0,Washington Wizards,G,07/14/91,1.83,79.4,1845301.0,USA,2014,1,24,UConn
Cedi Osman,75,#16,Cleveland Cavaliers,F-G,04/08/95,2.01,97.5,2907143.0,Turkey,2015,2,31,
Tomas Satoransky,75,#31,Chicago Bulls,G,10/30/91,2.01,89.8,10000000.0,Czech,2012,2,32,
Mike Scott,75,#1,Philadelphia 76ers,F,07/16/88,2.01,107.5,4767000.0,USA,2012,2,43,Virginia
Noah Vonleh,75,#0,Denver Nuggets,F,08/24/95,2.08,112.0,2000000.0,USA,2014,1,9,Indiana
Allonzo Trier,75,#0,,G-F,01/17/96,1.93,90.7,3551100.0,USA,2018,Undrafted,Undrafted,Arizona
Juan Hernangomez,74,#41,Minnesota Timberwolves,F,09/28/95,2.06,99.8,3321029.0,Spain,2016,1,15,
Kyle Anderson,74,#1,Memphis Grizzlies,F,09/20/93,2.06,104.3,9073050.0,USA,2014,1,30,UCLA
Jordan Bell,74,#0,Cleveland Cavaliers,F-C,01/07/95,2.03,101.6,1870564.0,USA,2017,2,38,Oregon
Khem Birch,74,#24,Orlando Magic,C,09/28/92,2.06,94.8,3000000.0,Canada,2014,Undrafted,Undrafted,UNLV
Dillon Brooks,74,#24,Memphis Grizzlies,G-F,01/22/96,2.01,102.1,1618520.0,Canada,2017,2,45,Oregon
Reggie Bullock,74,#25,New York Knicks,G,03/16/91,1.98,90.7,4000000.0,USA,2013,1,25,North Carolina
Zach Collins,74,#33,Portland Trail Blazers,C,11/17/97,2.11,105.2,4240200.0,USA,2017,1,10,Gonzaga
Pat Connaughton,74,#24,Milwaukee Bucks,G,01/06/93,1.96,97.5,1723050.0,USA,2015,2,41,Notre Dame
Quinn Cook,74,#2,Los Angeles Lakers,G,03/23/93,1.85,81.6,3000000.0,USA,2015,Undrafted,Undrafted,Duke
Torrey Craig,74,#3,Denver Nuggets,G,12/19/90,2.01,97.5,2000000.0,USA,2014,Undrafted,Undrafted,USC Upstate
Seth Curry,74,#30,Dallas Mavericks,G,08/23/90,1.88,81.6,7461380.0,USA,2013,Undrafted,Undrafted,Duke
Cheick Diallo,74,#14,Phoenix Suns,F-C,09/13/96,2.03,99.3,1678854.0,Mali,2016,2,33,Kansas
Yogi Ferrell,74,#3,Sacramento Kings,G,05/09/93,1.83,80.7,3150000.0,USA,2016,Undrafted,Undrafted,Indiana
Markelle Fultz,74,#20,Orlando Magic,G,05/29/98,1.91,88.5,9745200.0,USA,2017,1,1,Washington
Harry Giles,74,#20,Sacramento Kings,F-C,04/22/98,2.11,105.2,2578800.0,USA,2017,1,20,Duke
Moe Harkless,74,#0,New York Knicks,F,05/11/93,2.01,94.3,11011234.0,USA,2012,1,15,St. John's
Justin Jackson,74,#44,Dallas Mavericks,F-G,03/28/95,2.01,91.2,3280920.0,USA,2017,1,15,North Carolina
Tyler Johnson,74,#0,Brooklyn Nets,G,05/07/92,1.91,84.4,19428485.0,USA,2014,Undrafted,Undrafted,Fresno State
Derrick Jones,74,#5,Miami Heat,F,02/15/97,1.98,88.5,1645357.0,USA,2016,Undrafted,Undrafted,UNLV
Cory Joseph,74,#9,Sacramento Kings,G,08/20/91,1.91,83.9,12000000.0,Canada,2011,1,29,Texas
Maxi Kleber,74,#42,Dallas Mavericks,F-C,01/29/92,2.08,95.7,8000000.0,Germany,2014,Undrafted,Undrafted,
TJ Leaf,74,#22,Indiana Pacers,F-C,04/30/97,2.08,100.7,2813280.0,Israel,2017,1,18,UCLA
Doug McDermott,74,#20,Indiana Pacers,F,01/03/92,2.01,98.9,7333333.0,USA,2014,1,11,Creighton
E'Twaun Moore,74,#55,New Orleans Pelicans,G,02/25/89,1.91,86.6,8664928.0,USA,2011,2,55,Purdue
Joakim Noah,74,#0,Los Angeles Clippers,C,02/25/85,2.11,103.0,6813026.0,USA,2007,1,9,Florida
Kyle O'Quinn,74,#9,Philadelphia 76ers,F-C,03/26/90,2.06,108.9,2174318.0,USA,2012,2,49,Norfolk State
Chandler Parsons,74,#0,,F,10/25/88,2.06,90.7,25102512.0,USA,2011,2,38,Florida
Norman Powell,74,#24,Toronto Raptors,G,05/25/93,1.91,97.5,10116576.0,USA,2015,2,46,UCLA
Ivan Rabb,74,#0,,F-C,02/04/97,2.08,99.8,451326.0,USA,2017,2,35,California
Glenn Robinson III,74,#22,Golden State Warriors,F,01/08/94,1.98,95.7,1882867.0,USA,2014,2,40,Michigan
Denzel Valentine,74,#45,Chicago Bulls,G,11/16/93,1.93,95.3,3377568.0,USA,2016,1,14,Michigan State
Robert Williams,74,#44,Boston Celtics,F-C,10/17/97,2.03,107.5,1937520.0,USA,2018,1,27,Texas A&M
Christian Wood,74,#35,Detroit Pistons,F,09/27/95,2.08,98.0,1645357.0,USA,2015,Undrafted,Undrafted,UNLV
Jaxson Hayes,74,#10,New Orleans Pelicans,F-C,05/23/00,2.11,99.8,4862040.0,USA,2019,1,8,Texas
Rui Hachimura,74,#8,Washington Wizards,F,02/08/98,2.03,102.1,4469160.0,Japan,2019,1,9,Gonzaga
OG Anunoby,73,#3,Toronto Raptors,F-G,07/17/97,2.01,105.2,2281800.0,United Kingdom,2017,1,23,Indiana
Dwayne Bacon,73,#7,Charlotte Hornets,G,08/30/95,1.98,99.8,1618520.0,USA,2017,2,40,Florida State
DeAndre Bembry,73,#95,Atlanta Hawks,F,07/04/94,1.96,93.9,2603981.0,USA,2016,1,21,Saint Joseph's
Jonah Bolden,73,#0,Phoenix Suns,F,01/02/96,2.03,97.5,1788296.0,Australia,2017,2,36,UCLA
Sterling Brown,73,#23,Milwaukee Bucks,G,02/10/95,1.96,104.3,1618520.0,USA,2017,2,46,SMU
Bruce Brown,73,#6,Detroit Pistons,G,08/15/96,1.93,86.2,1416852.0,USA,2018,2,42,Miami (Florida)
Troy Brown,73,#6,Washington Wizards,F-G,07/28/99,1.98,97.5,3219480.0,USA,2018,1,15,Oregon
Alec Burks,73,#0,Philadelphia 76ers,G,07/20/91,1.98,88.5,2320044.0,USA,2011,1,12,Colorado
Alex Caruso,73,#4,Los Angeles Lakers,G,02/28/94,1.96,84.4,2750000.0,USA,2016,Undrafted,Undrafted,Texas A&M
Tyson Chandler,73,#19,Houston Rockets,C,10/02/82,2.13,106.6,2564753.0,USA,2001,1,2,
Allen Crabbe,73,#0,,G-F,04/09/92,1.96,89.4,17818456.0,USA,2013,2,31,California
Matthew Dellavedova,73,#18,Cleveland Cavaliers,G,09/08/90,1.91,86.2,9607500.0,Australia,2013,Undrafted,Undrafted,Saint Mary's
James Ennis,73,#0,Orlando Magic,F,07/01/90,1.98,91.2,1882867.0,USA,2013,2,50,Long Beach State
Dorian Finney-Smith,73,#10,Dallas Mavericks,F,05/04/93,2.01,96.6,4000000.0,USA,2016,Undrafted,Undrafted,Florida
Shaquille Harrison,73,#3,Chicago Bulls,G,10/06/93,2.01,86.2,1620564.0,USA,2016,Undrafted,Undrafted,Tulsa
Aaron Holiday,73,#3,Indiana Pacers,G,09/30/96,1.83,83.9,2239200.0,USA,2018,1,23,UCLA
Danuel House,73,#4,Houston Rockets,F,06/07/93,1.98,99.8,3540000.0,USA,2016,Undrafted,Undrafted,Texas A&M
Stanley Johnson,73,#5,Toronto Raptors,F,05/29/96,1.98,109.8,3623000.0,USA,2015,1,8,Arizona
Tyus Jones,73,#21,Memphis Grizzlies,G,05/10/96,1.83,83.9,10116000.0,USA,2015,1,24,Duke
Furkan Korkmaz,73,#30,Philadelphia 76ers,F,06/27/97,2.01,83.9,1620564.0,Turkey,2016,1,26,
Ian Mahinmi,73,#28,Washington Wizards,C,11/05/86,2.11,104.3,15450051.0,France,2005,1,28,
CJ Miles,73,#0,,G-F,03/18/87,1.98,105.2,8730158.0,USA,2005,2,34,
Mike Muscala,73,#33,Oklahoma City Thunder,F-C,07/01/91,2.08,104.3,2028594.0,USA,2013,2,44,Bucknell
Frank Ntilikina,73,#11,New York Knicks,G,07/28/98,1.93,86.2,4855800.0,France,2017,1,8,
David Nwaba,73,#0,Houston Rockets,G,01/14/93,1.96,95.3,2581965.0,USA,2016,Undrafted,Undrafted,Cal Poly
Royce O'Neale,73,#23,Utah Jazz,F,06/05/93,1.93,102.5,1618520.0,USA,2015,Undrafted,Undrafted,Baylor
Semi Ojeleye,73,#37,Boston Celtics,F,12/05/94,1.98,106.6,1618520.0,USA,2017,2,37,SMU
Josh Okogie,73,#20,Minnesota Timberwolves,G,09/01/98,1.93,96.6,2530680.0,Nigeria,2018,1,20,Georgia Tech
Jonathon Simmons,73,#0,,G-F,09/14/89,1.98,88.5,1000000.0,USA,2012,Undrafted,Undrafted,Houston
Ishmael Smith,73,#14,Washington Wizards,G,07/05/88,1.83,79.4,6000000.0,USA,2010,Undrafted,Undrafted,Wake Forest
Tony Snell,73,#17,Detroit Pistons,F,11/10/91,1.98,89.8,11392857.0,USA,2013,1,20,New Mexico
Omari Spellman,73,#0,Minnesota Timberwolves,F,07/21/97,2.03,111.1,1897800.0,USA,2018,1,30,Villanova
Garrett Temple,73,#17,Brooklyn Nets,G-F,05/08/86,1.96,88.5,4767000.0,USA,2009,Undrafted,Undrafted,LSU
Evan Turner,73,#1,Minnesota Timberwolves,G-F,10/27/88,1.98,93.0,18606556.0,USA,2010,1,2,Ohio State
Lonnie Walker,73,#1,San Antonio Spurs,G,12/14/98,1.96,92.5,2764200.0,USA,2018,1,18,Miami (Florida)
Brad Wanamaker,73,#9,Boston Celtics,G,07/25/89,1.91,95.3,1445697.0,USA,2011,Undrafted,Undrafted,Pittsburgh
Ante Zizic,73,#41,Cleveland Cavaliers,C,01/04/97,2.08,113.4,2281800.0,Croatia,2016,1,23,
Tyler Herro,73,#14,Miami Heat,G,01/20/00,1.96,88.5,3640200.0,USA,2019,1,13,Kentucky
Vincent Poirier,73,#77,Boston Celtics,C,10/17/93,2.13,106.6,2505793.0,France,2015,Undrafted,Undrafted,
Sekou Doumbouya,73,#45,Detroit Pistons,F,12/23/00,2.03,94.8,3285120.0,France,2019,1,15,
Brandon Clarke,73,#15,Memphis Grizzlies,F,09/19/96,2.03,97.5,2478840.0,Canada,2019,1,21,Gonzaga
Nicolo Melli,73,#20,New Orleans Pelicans,F,01/26/91,2.06,107.0,4102564.0,Italy,2013,Undrafted,Undrafted,
Nassir Little,73,#9,Portland Trail Blazers,F,02/11/00,1.96,99.8,2105520.0,USA,2019,1,25,North Carolina
Grayson Allen,72,#3,Memphis Grizzlies,G,10/08/95,1.93,93.0,2429400.0,USA,2018,1,21,Duke
Antonio Blakeney,72,#0,,G-F,10/04/96,1.93,89.4,1488231.0,USA,2017,Undrafted,Undrafted,LSU
Michael Carter-Williams,72,#7,Orlando Magic,G,10/10/91,1.96,83.5,2028594.0,USA,2013,1,11,Syracuse
Troy Daniels,72,#30,Denver Nuggets,G,07/15/91,1.93,90.7,2487033.0,USA,2013,Undrafted,Undrafted,VCU
Donte DiVincenzo,72,#0,Milwaukee Bucks,G,01/31/97,1.93,93.0,2905800.0,USA,2018,1,17,Villanova
Jared Dudley,72,#10,Los Angeles Lakers,F,07/10/85,1.98,102.1,2564753.0,USA,2007,1,22,Boston College
Cristiano Felicio,72,#6,Chicago Bulls,F,07/07/92,2.08,122.5,8156500.0,Brazil,2014,Undrafted,Undrafted,
Tim Frazier,72,#0,,G,11/01/90,1.83,77.1,1620564.0,USA,2014,Undrafted,Undrafted,Penn State
Langston Galloway,72,#9,Detroit Pistons,G,12/09/91,1.85,91.6,7333333.0,USA,2014,Undrafted,Undrafted,Saint Joseph's
Justin Holiday,72,#8,Indiana Pacers,G,04/05/89,1.98,81.6,4767000.0,USA,2011,Undrafted,Undrafted,Washington
Chandler Hutchison,72,#15,Chicago Bulls,F,04/26/96,2.01,88.9,2332320.0,USA,2018,1,22,Boise State
Wesley Iwundu,72,#25,Orlando Magic,F,12/20/94,1.98,93.0,1618520.0,USA,2017,2,33,Kansas State
Brandon Knight,72,#0,Detroit Pistons,G,12/02/91,1.88,85.7,15643750.0,USA,2011,1,8,Kentucky
Courtney Lee,72,#1,Dallas Mavericks,G-F,10/03/85,1.96,90.7,12759670.0,USA,2008,1,22,Western Kentucky
Thon Maker,72,#7,Detroit Pistons,F-C,02/25/97,2.13,98.0,3569643.0,Australia,2016,1,10,
Patrick McCaw,72,#22,Toronto Raptors,G,10/25/95,2.01,82.1,4000000.0,USA,2016,2,38,UNLV
Rodney McGruder,72,#19,Los Angeles Clippers,G,07/29/91,1.93,93.0,4807693.0,USA,2013,Undrafted,Undrafted,Kansas State
Darius Miller,72,#21,New Orleans Pelicans,F,03/21/90,1.98,102.1,7250000.0,USA,2012,2,46,Kentucky
Raul Neto,72,#19,Philadelphia 76ers,G,05/19/92,1.85,77.1,1737145.0,Brazil,2013,2,47,
Georges Niang,72,#31,Utah Jazz,F,06/17/93,2.01,104.3,1645357.0,USA,2016,2,50,Iowa State
Cameron Payne,72,#0,Phoenix Suns,G,08/08/94,1.88,81.6,346288.0,USA,2015,1,14,Murray State
Anfernee Simons,72,#1,Portland Trail Blazers,G,06/08/99,1.91,82.1,2149560.0,USA,2018,1,24,
Zhaire Smith,72,#8,Philadelphia 76ers,G-F,06/04/99,1.91,93.0,3058800.0,USA,2018,1,16,Texas Tech
Anthony Tolliver,72,#0,Memphis Grizzlies,F,06/01/85,2.03,108.9,2854556.0,USA,2007,Undrafted,Undrafted,Creighton
DJ Wilson,72,#5,Milwaukee Bucks,F,02/19/96,2.08,106.1,2961120.0,USA,2017,1,17,Michigan
Alfonzo McKinnie,72,#0,Cleveland Cavaliers,F,09/17/92,2.03,97.5,2391985.0,USA,2015,Undrafted,Undrafted,Green Bay
Romeo Langford,72,#45,Boston Celtics,G,10/25/99,1.93,98.0,3458400.0,USA,2019,1,14,Indiana
Grant Williams,72,#12,Boston Celtics,F,11/30/98,1.98,107.0,2379840.0,USA,2019,1,22,Tennessee
Nicolas Claxton,72,#0,Brooklyn Nets,C,04/17/90,2.11,97.5,898310.0,USA,2019,2,31,Georgia
PJ Washington,72,#25,Charlotte Hornets,F,08/23/98,2.01,102.1,3831840.0,USA,2019,1,12,Kentucky
Ryan Arcidiacono,72,#51,Chicago Bulls,G,03/26/94,1.91,88.5,3000000.0,Italy,2016,Undrafted,Undrafted,Villanova
Kevin Porter,72,#4,Cleveland Cavaliers,G-F,05/04/00,1.93,98.9,1290960.0,USA,2019,1,30,USC
Ryan Broekhoff,72,#0,Philadelphia 76ers,F,08/23/90,1.98,97.5,2833704.0,Australia,2013,Undrafted,Undrafted,Valparaiso
Goga Bitadze,72,#88,Indiana Pacers,C,07/20/99,2.11,113.4,2816760.0,Georgia,2019,1,18,
De'Anthony Melton,72,#0,Memphis Grizzlies,G,05/28/98,1.88,86.2,1416852.0,USA,2018,2,46,USC
Kenrich Williams,72,#34,New Orleans Pelicans,G-F,12/02/94,1.98,95.3,1416852.0,USA,2018,Undrafted,Undrafted,TCU
Nickeil Alexander-Walker,72,#0,New Orleans Pelicans,G,09/02/98,1.96,93.0,2964840.0,Canada,2019,1,17,Virginia Tech
Chuma Okeke,72,#3,,F-C,08/18/98,2.03,104.0,2773550.0,USA,2019,1,16,Auburn
Matisse Thybulle,72,#22,Philadelphia 76ers,G-F,03/04/97,1.96,91.2,2582160.0,USA,2019,1,20,Washington
Cameron Johnson,72,#23,Phoenix Suns,F,03/03/96,2.03,95.3,4033440.0,USA,2019,1,11,North Carolina
Ty Jerome,72,#10,Phoenix Suns,G,07/08/97,1.96,88.5,2193480.0,USA,2019,1,24,Virginia
Luka Samanic,72,#19,San Antonio Spurs,F,01/09/00,2.08,94.8,2689920.0,Croatia,2019,1,19,
Keldon Johnson,72,#3,San Antonio Spurs,F,10/11/99,1.96,95.7,1950600.0,USA,2019,1,29,Kentucky
Matt Thomas,72,#21,Toronto Raptors,G,08/04/94,1.93,89.4,898310.0,USA,2017,Undrafted,Undrafted,Iowa State
Chris Boucher,71,#25,Toronto Raptors,F-C,01/11/93,2.06,90.7,1588231.0,Canada,2017,Undrafted,Undrafted,Oregon
Jevon Carter,71,#4,Phoenix Suns,G,09/14/95,1.85,90.7,1416852.0,USA,2018,2,32,West Virginia
Deyonta Davis,71,#0,,F-C,12/02/96,2.08,108.9,250000.0,USA,2016,2,31,Michigan State
Jacob Evans,71,#0,Minnesota Timberwolves,G,06/18/97,1.93,95.3,1925880.0,USA,2018,1,28,Cincinnati
Terrance Ferguson,71,#23,Oklahoma City Thunder,G,05/17/98,1.98,83.5,2475840.0,USA,2017,1,21,
Daniel Gafford,71,#12,Chicago Bulls,F,10/01/98,2.08,106.1,898310.0,USA,2019,2,38,Arkansas
Treveon Graham,71,#12,Atlanta Hawks,G,10/28/93,1.96,99.3,1645357.0,USA,2015,Undrafted,Undrafted,VCU
Frank Jackson,71,#15,New Orleans Pelicans,G,05/04/98,1.91,93.0,1618520.0,USA,2017,2,31,Duke
Luke Kornet,71,#2,Chicago Bulls,C,07/15/95,2.18,108.9,2250000.0,USA,2017,Undrafted,Undrafted,Vanderbilt
Frank Mason,71,#15,Milwaukee Bucks,G,04/13/94,1.8,86.2,79568.0,USA,2017,2,34,Kansas
Ben McLemore,71,#16,Houston Rockets,G,02/11/93,1.91,85.7,2028594.0,USA,2013,1,7,Kansas
Dzanan Musa,71,#13,Brooklyn Nets,F,05/08/99,2.06,88.5,1911600.0,Bosnia and Herzegovina,2018,1,29,
Elie Okobo,71,#2,Phoenix Suns,G,10/23/97,1.91,86.2,1416852.0,France,2018,2,31,
Jerome Robinson,71,#1,Washington Wizards,G,02/22/97,1.93,86.2,3567720.0,USA,2018,1,13,Boston College
JaKarr Sampson,71,#14,Indiana Pacers,F,03/20/93,2.01,101.2,1737145.0,USA,2014,Undrafted,Undrafted,St. John's
Edmond Sumner,71,#5,Indiana Pacers,G,12/13/95,1.93,84.4,2000000.0,USA,2017,2,52,Xavier
Gary Trent Jr,71,#2,Portland Trail Blazers,G,01/18/99,1.96,94.8,1416852.0,USA,2018,2,37,Duke
Moritz Wagner,71,#21,Washington Wizards,F,04/26/97,2.11,108.9,2063520.0,Germany,2018,1,25,Michigan
Admiral Schofield,71,#1,Washington Wizards,F,03/30/97,1.96,109.3,1000000.0,USA,2019,2,42,Tennessee
Bruno Fernando,71,#24,Atlanta Hawks,F,08/15/98,2.06,111.1,1400000.0,Angola,2019,2,34,Maryland
Alen Smailagic,71,#6,Golden State Warriors,F,08/18/00,2.08,97.5,898310.0,Serbia,2019,2,39,
Eric Paschall,71,#7,Golden State Warriors,F,11/04/96,1.98,115.7,898310.0,USA,2019,2,41,Villanova
Carsen Edwards,71,#4,Boston Celtics,G,03/12/98,1.8,90.7,1228026.0,USA,2019,2,33,Purdue
KZ Okpala,71,#4,Miami Heat,F,04/28/99,2.03,97.5,898310.0,USA,2019,2,32,Stanford
Shake Milton,71,#18,Philadelphia 76ers,C,09/26/96,1.96,93.0,1445697.0,USA,2018,2,54,SMU
Chimezie Metu,71,#7,San Antonio Spurs,F,03/22/97,2.06,102.1,1416852.0,Nigeria,2018,2,49,USC
Keita Bates-Diop,70,#0,Denver Nuggets,F,01/23/96,2.03,106.6,1416852.0,USA,2018,2,48,Ohio State
Darius Bazley,70,#7,Oklahoma City Thunder,F,06/12/00,2.03,90.7,2284800.0,USA,2019,1,23,
Tony Bradley,70,#13,Utah Jazz,F-C,01/08/98,2.08,112.5,1962360.0,USA,2017,1,28,North Carolina
Hamidou Diallo,70,#6,Oklahoma City Thunder,G,07/31/98,1.96,89.8,1416852.0,USA,2018,2,45,Kentucky
Melvin Frazier,70,#35,Orlando Magic,F,08/30/96,1.96,91.2,1416852.0,USA,2018,2,35,Tulane
Solomon Hill,70,#44,Miami Heat,F,03/18/91,1.98,102.5,13290395.0,USA,2013,1,23,Arizona
Alize Johnson,70,#24,Indiana Pacers,F,04/26/96,2.01,91.2,1416852.0,USA,2018,2,50,Missouri State
Skal Labissiere,70,#0,Atlanta Hawks,C-F,03/18/96,2.08,98.0,2338846.0,Haiti,2016,1,28,Kentucky
Tyler Lydon,70,#0,,F-C,04/09/96,2.06,99.8,50000.0,USA,2017,1,24,Syracuse
Sviatoslav Mykhailiuk,70,#19,Detroit Pistons,G,06/10/97,2.01,93.0,1416852.0,Ukraine,2018,2,47,Kansas
Johnathan Motley,70,#15,Los Angeles Clippers,F,05/04/95,2.03,104.3,79568.0,USA,2017,Undrafted,Undrafted,Baylor
Abdel Nader,70,#11,Oklahoma City Thunder,F,09/25/93,1.96,102.1,1618520.0,Egypt,2016,2,58,Iowa State
Miles Plumlee,70,#0,,F-C,09/01/88,2.11,115.7,12500000.0,USA,2012,1,26,Duke
Caleb Swanigan,70,#50,Portland Trail Blazers,C,04/18/97,2.06,112.9,2033160.0,USA,2017,1,26,Purdue
Jarred Vanderbilt,70,#0,Minnesota Timberwolves,F,04/03/99,2.06,97.1,1416852.0,USA,2018,2,41,Kentucky
Jemerrio Jones,70,#0,,F,04/09/95,1.96,91.2,195077.0,USA,2018,Undrafted,Undrafted,New Mexico State
Jordan Poole,70,#3,Golden State Warriors,G,06/19/99,1.93,88.0,1964760.0,USA,2019,1,28,Michigan
Talen Horton-Tucker,70,#5,Los Angeles Lakers,G,11/20/00,1.93,106.1,898310.0,USA,2019,2,46,Iowa State
Yante Maten,70,#0,,F-C,08/14/96,2.03,108.9,100000.0,USA,2018,Undrafted,Undrafted,Georgia
Thanasis Antetokounmpo,70,#43,Milwaukee Bucks,F,07/18/92,1.98,97.5,1445697.0,Greece,2014,2,51,
Naz Reid,70,#11,Minnesota Timberwolves,C,08/26/99,2.06,112.9,898310.0,USA,2019,Undrafted,Undrafted,LSU
Ignas Brazdeikis,70,#17,New York Knicks,F,01/08/99,1.98,98.0,898310.0,Canada,2019,2,47,Michigan
Deonte Burton,70,#30,Oklahoma City Thunder,G,06/26/91,1.93,108.9,1416852.0,USA,2014,Undrafted,Undrafted,Iowa State
Justin James,70,#10,Sacramento Kings,G,01/24/97,2.01,86.2,898310.0,USA,2019,2,40,Wyoming
Henry Ellenson,69,#0,,F-C,01/13/97,2.08,109.8,79568.0,USA,2016,1,18,Marquette
Devonte Graham,69,#0,Charlotte Hornets,G,02/22/95,1.85,83.9,1416852.0,USA,2018,2,34,Kansas
Amile Jefferson,69,#0,,F-C,05/07/93,2.06,101.6,1529007.0,USA,2017,Undrafted,Undrafted,Duke
Khyri Thomas,69,#13,Detroit Pistons,G,05/08/96,1.91,95.3,1416852.0,USA,2018,2,38,Creighton
Theo Pinson,69,#0,New York Knicks,G,11/05/95,1.96,99.8,1445697.0,USA,2018,Undrafted,Undrafted,North Carolina
Gary Clark,69,#0,Orlando Magic,F,11/16/94,1.98,102.1,1427191.0,USA,2018,Undrafted,Undrafted,Cincinnati
Terance Mann,69,#14,Los Angeles Clippers,G,10/18/96,1.96,97.5,1000000.0,USA,2019,2,48,Florida State
Cam Reynolds,69,#13,Milwaukee Bucks,G,02/07/95,2.01,102.1,79568.0,USA,2018,Undrafted,Undrafted,Tulane
Tyrone Wallace,69,#0,,G-F,06/10/94,1.96,90.7,502491.0,USA,2016,2,60,California
Miye Oni,69,#24,Utah Jazz,F,08/04/97,1.96,95.3,898310.0,USA,2019,2,58,Yale
Malcolm Miller,69,#13,Toronto Raptors,F,03/06/93,2.01,93.0,1588231.0,USA,2015,Undrafted,Undrafted,Holy Cross
Isaac Bonga,68,#17,Washington Wizards,G,11/08/99,2.03,90.7,1416852.0,Germany,2018,2,39,
Isaiah Hartenstein,68,#0,,F-C,05/05/98,2.13,113.4,1416852.0,Germany,2017,2,43,
Jordan McRae,68,#0,Detroit Pistons,G,03/28/91,1.96,81.2,1254933.0,USA,2014,2,58,Tennessee
Brandon Goodwin,68,#0,Atlanta Hawks,G,10/02/95,1.83,81.6,522738.0,USA,2018,Undrafted,Undrafted,Florida Gulf Coast
Michael Frazier,68,#21,Houston Rockets,G,03/08/94,1.91,90.7,79568.0,USA,2015,2,60,Florida
Kostas Antetokounmpo,68,#37,Los Angeles Lakers,F,11/20/97,2.08,90.7,79568.0,Greece,2018,Undrafted,Undrafted,Dayton
Jalen Lecque,68,#0,Phoenix Suns,G,06/13/00,1.91,86.2,898310.0,USA,2019,Undrafted,Undrafted,
Duncan Robinson,67,#55,Miami Heat,F,04/22/94,2.01,97.5,1416852.0,USA,2018,Undrafted,Undrafted,Michigan
